local_timestamp,game,home_team,away_team,sportsbook,outcome_name,outcome_target,outcome_line,outcome_over_under,odds,link
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,140.5,U,+165,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051437&selectionId=7017824
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,146.5,O,-105,
2026-01-22 21:19:22,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,147.0,O,+102,
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,136.5,O,-170,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049609&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,139.5,O,-122,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.153974431&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,145.5,O,+150,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049622&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,145.5,U,-220,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049622&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,142.5,O,+110,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049579&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,142.5,U,-155,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049579&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,133.5,O,-250,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049596&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,133.5,U,+175,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049596&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,136.5,U,+120,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049609&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,148.5,O,+220,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049592&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,148.5,U,-330,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049592&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,130.5,O,-380,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049586&selectionId=7017823
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,130.5,U,+250,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154049586&selectionId=7017824
2026-01-22 21:19:22,"Montana State Bobcats vs Idaho State Bengals, 2026-01-22, 09",Montana State Bobcats,Idaho State Bengals,fanduel,Total,,139.5,U,-108,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.153974431&selectionId=7017824
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,143.5,O,-102,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,143.5,U,-132,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,143.0,O,-108,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,143.0,U,-125,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,142.5,O,-113,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,141.0,U,+101,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,142.0,O,-121,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,142.0,U,-111,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,141.5,O,-127,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,141.5,U,-106,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,141.0,O,-135,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,fanduel,Total,,143.5,O,-165,https://sportsbook.fanduel.ca/addToBetslip?marketId=801.154051481&selectionId=7017823
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,pinnacle,Total,,142.5,U,-117,
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,draftkings,Total,,150.5,O,+160,https://sportsbook.draftkings.com/event/uc-san-diego-%40-uc-davis/33503920?outcomes=0OU83094912O15050_1
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,draftkings,Total,,149.5,O,+145,https://sportsbook.draftkings.com/event/uc-san-diego-%40-uc-davis/33503920?outcomes=0OU83094912O14950_1
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,draftkings,Total,,150.5,U,-220,https://sportsbook.draftkings.com/event/uc-san-diego-%40-uc-davis/33503920?outcomes=0OU83094912U15050_3
2026-01-22 21:19:21,"Cal Davis Aggies vs UC San Diego Tritons, 2026-01-22, 09",Cal Davis Aggies,UC San Diego Tritons,draftkings,Total,,149.5,U,-195,https://sportsbook.draftkings.com/event/uc-san-diego-%40-uc-davis/33503920?outcomes=0OU83094912U14950_3
2026-01-22 21:19:21,"Southern Illinois Cougars vs Tennessee Blue Raiders, 2026-01-22, 09",Southern Illinois Cougars,Tennessee Blue Raiders,draftkings,Total,,144.5,U,+165,https://sportsbook.draftkings.com/event/tennessee-state-%40-siu-edwardsville/33504083?outcomes=0OU83094865U14450_3
